id,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,i0_indexing,disfluent_original
2078-205,,,,,,I I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,it just it i do n't know it one of those movies it 's not going to be around long it will be a dollar movie in no time
4646-1,but my grandparents were look actually no were looking into it before so i know what they 've said,"['but', 'my', 'grandparents', 'were', 'looking', 'into', 'it', 'before', 'so', 'i', 'know', 'what', 'they', ""'ve"", 'said']","['but', 'my', 'grandparents', 'were', 'look', 'actually', 'no', 'were', 'looking', 'into', 'it', 'before', 'so', 'i', 'know', 'what', 'they', ""'ve"", 'said']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,but i my grandparents were looking into it before so i know what they 've said
2427-367,,,,,,0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0,i 'd like to try you know just try something new every year that i have n't tried before and
2347-71,a relationship with their father and i do n't think we get into so much of the mother dominating figure if the father has more stimulant I meant dominating figure if the father has more input there,"['a', 'relationship', 'with', 'their', 'father', 'and', 'i', 'do', ""n't"", 'think', 'we', 'get', 'into', 'so', 'much', 'of', 'the', 'mother', 'dominating', 'figure', 'if', 'the', 'father', 'has', 'more', 'input', 'there']","['a', 'relationship', 'with', 'their', 'father', 'and', 'i', 'do', ""n't"", 'think', 'we', 'get', 'into', 'so', 'much', 'of', 'the', 'mother', 'dominating', 'figure', 'if', 'the', 'father', 'has', 'more', 'stimulant', 'I', 'meant', 'dominating', 'figure', 'if', 'the', 'father', 'has', 'more', 'input', 'there']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 I 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0,a relationship with their father and and i do n't think you we get into so much of the mother dominating figure if if the father has more input there
2347-71,but i do n't understand why the young girls feel like they have to build roads and they get well I actually mean roads and they have to go out there and shovel that tar and drive those big trucks,"['but', 'i', 'do', ""n't"", 'understand', 'why', 'the', 'young', 'girls', 'feel', 'like', 'they', 'have', 'to', 'build', 'roads', 'and', 'they', 'have', 'to', 'go', 'out', 'there', 'and', 'shovel', 'that', 'tar', 'and', 'drive', 'those', 'big', 'trucks']","['but', 'i', 'do', ""n't"", 'understand', 'why', 'the', 'young', 'girls', 'feel', 'like', 'they', 'have', 'to', 'build', 'roads', 'and', 'they', 'get', 'well', 'I', 'actually', 'mean', 'roads', 'and', 'they', 'have', 'to', 'go', 'out', 'there', 'and', 'shovel', 'that', 'tar', 'and', 'drive', 'those', 'big', 'trucks']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I 0 0 0 0 0 0 0 0 I 0 0 0 0 0,but uh i do n't understand why the young girls feel like they have to build roads and they have to that kind of job uh to go out there and shovel that tar and and drive those big trucks
2347-71,,,,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,and we just recently finished a long drive through the west a little over five thousand miles and at one point we sat down uh i did n't realize it but i sat at a counter to have a cup of coffee that happened to be for truck drivers only
2347-71,,,,,,0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,and here 's this young girl with the tattoos and she w has just had just driven a load of meat from minneapolis to some place in arizona and she 'd been and i ask her how old she was and she was the ag between the age of our daughters and she had been driving a truck for seven years
2347-71,,,,,,0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,and i thought gosh i mean why would a woman choose that rough and tumble life style when i guess i 'm s i 'm a maybe victorian and my husband is a little bit of a male chauvinist in that he 's a very considerate person but he also thinks a woman should be taken care of and and in the home and she should vote but after she talks to her husband about how she ought to vote
2347-71,now it probably does n't work that room well I actually meant does n't work that way in our household because i have strong opinions about things too but i like being taken care of,"['now', 'it', 'probably', 'does', ""n't"", 'work', 'that', 'way', 'in', 'our', 'household', 'because', 'i', 'have', 'strong', 'opinions', 'about', 'things', 'too', 'but', 'i', 'like', 'being', 'taken', 'care', 'of']","['now', 'it', 'probably', 'does', ""n't"", 'work', 'that', 'room', 'well', 'I', 'actually', 'meant', 'does', ""n't"", 'work', 'that', 'way', 'in', 'our', 'household', 'because', 'i', 'have', 'strong', 'opinions', 'about', 'things', 'too', 'but', 'i', 'like', 'being', 'taken', 'care', 'of']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,now it probably does n't work that way in our household because i have strong opinions about things too but uh i like being taken care of
3076-75,easier targets and so we did get a petition together and we very strongly resisted it and it was placed closer to my neighbourhood no i meant to say together and we very strongly resisted it and it was placed closer to my neighborhood but it was on the right side of the street,"['easier', 'targets', 'and', 'so', 'we', 'did', 'get', 'a', 'petition', 'together', 'and', 'we', 'very', 'strongly', 'resisted', 'it', 'and', 'it', 'was', 'placed', 'closer', 'to', 'my', 'neighborhood', 'but', 'it', 'was', 'on', 'the', 'right', 'side', 'of', 'the', 'street']","['easier', 'targets', 'and', 'so', 'we', 'did', 'get', 'a', 'petition', 'together', 'and', 'we', 'very', 'strongly', 'resisted', 'it', 'and', 'it', 'was', 'placed', 'closer', 'to', 'my', 'neighbourhood', 'no', 'i', 'meant', 'to', 'say', 'together', 'and', 'we', 'very', 'strongly', 'resisted', 'it', 'and', 'it', 'was', 'placed', 'closer', 'to', 'my', 'neighborhood', 'but', 'it', 'was', 'on', 'the', 'right', 'side', 'of', 'the', 'street']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,I I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,uh huh yeah easier targets and so we we did get a petition together and we very strongly resisted it and it was placed in a actually it was placed clear closer to my neighborhood but it was on the right side of the street
3521-59,not something you 'll be interested in ten years from now by any way I mean ten years from now by any means,"['not', 'something', 'you', ""'ll"", 'be', 'interested', 'in', 'ten', 'years', 'from', 'now', 'by', 'any', 'means']","['not', 'something', 'you', ""'ll"", 'be', 'interested', 'in', 'ten', 'years', 'from', 'now', 'by', 'any', 'way', 'I', 'mean', 'ten', 'years', 'from', 'now', 'by', 'any', 'means']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,I I I 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0,right right yeah not something you 'll you 'll uh be interested in ten years from now by any means
3521-59,,,,,,0 I 0 0,how how about you
3521-59,,,,,,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,uh i guess in washington d c you guys have several papers that are pretty
2952-38,,,,,,0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,i just go out just to just to enjoy it and not really spend money sometimes
3666-20,cost wait a minute is that good,"['is', 'that', 'good']","['cost', 'wait', 'a', 'minute', 'is', 'that', 'good']","['D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,0 I I 0 0,is uh is that good
4341-55,,,,,,I 0 0 0 0 0 0 0 0 0,well i think that would be kind of drastic punishment
2874-55,when you have to look in their eyes and hit them in the head or whatever that 's what you do with a siluriform fish wait a minute the head or whatever that 's what you do with a catfish because you have to sever their spinal cord,"['when', 'you', 'have', 'to', 'look', 'in', 'their', 'eyes', 'and', 'hit', 'them', 'in', 'the', 'head', 'or', 'whatever', 'that', ""'s"", 'what', 'you', 'do', 'with', 'a', 'catfish', 'because', 'you', 'have', 'to', 'sever', 'their', 'spinal', 'cord']","['when', 'you', 'have', 'to', 'look', 'in', 'their', 'eyes', 'and', 'hit', 'them', 'in', 'the', 'head', 'or', 'whatever', 'that', ""'s"", 'what', 'you', 'do', 'with', 'a', 'siluriform', 'fish', 'wait', 'a', 'minute', 'the', 'head', 'or', 'whatever', 'that', ""'s"", 'what', 'you', 'do', 'with', 'a', 'catfish', 'because', 'you', 'have', 'to', 'sever', 'their', 'spinal', 'cord']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,I I I I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,yeah and if you know when you when you have to look in their eyes and you know hit them in the head or whatever that 's what you do with a catfish you know because you have to sever their spinal cord
3838-4,,,,,,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 I 0,well i grew up in california and then i went to school in utah and i got married there and we stayed there for a while and then now we 're in u iowa
2316-53,,,,,,0 0 0 0 0 0 0 I I I I I I I I I I 0 0 0 0 0 0 0 0 I 0 I I 0 0 0 I I 0 0 0 0 0 0 0 0,i guess you just have to wonder is it up to the is it you know who who 's supposed to make the change the the state the govern the federal government you know where 's the money supposed to come from
