id,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,i0_indexing,disfluent_original
3073-109,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not little sorry much time,"['i', 'mean', 'i', 'watch', 'nine', ""o'clock"", 'i', 'do', 'okay', 'because', 'the', 'kids', 'are', 'all', 'in', 'bed', 'but', 'before', 'that', 'i', 'really', 'there', ""'s"", 'not', 'much', 'time']","['i', 'mean', 'i', 'watch', 'nine', ""o'clock"", 'i', 'do', 'okay', 'because', 'the', 'kids', 'are', 'all', 'in', 'bed', 'but', 'before', 'that', 'i', 'really', 'there', ""'s"", 'not', 'little', 'sorry', 'much', 'time']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F']",adj_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not much time
3073-109,or like at six thirty i 'll watch wheel of fate I mean i 'll watch wheel of fortune or something like that,"['or', 'like', 'at', 'six', 'thirty', 'i', ""'ll"", 'watch', 'wheel', 'of', 'fortune', 'or', 'something', 'like', 'that']","['or', 'like', 'at', 'six', 'thirty', 'i', ""'ll"", 'watch', 'wheel', 'of', 'fate', 'I', 'mean', 'i', ""'ll"", 'watch', 'wheel', 'of', 'fortune', 'or', 'something', 'like', 'that']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,or like at six thirty i 'll watch wheel of fortune or something like that
3038-37,well it was within ninety twenty-four hours wait a minute ninety days,"['well', 'it', 'was', 'within', 'ninety', 'days']","['well', 'it', 'was', 'within', 'ninety', 'twenty-four', 'hours', 'wait', 'a', 'minute', 'ninety', 'days']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,0 0 0 0 I 0 0,well it was within oh ninety days
4133-35,,,,,,I I I 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,it 's also i used to live in georgia and you know the the big thing down there was all right we have capital punishment but if you look at who gets accused and who are the ones who actually get executed it 's very racially related and ethnically related
2789-171,,,,,,I I I 0 0,all righty well thank you
2789-171,it was gracious no wait a minute it was nice talking to you,"['it', 'was', 'nice', 'talking', 'to', 'you']","['it', 'was', 'gracious', 'no', 'wait', 'a', 'minute', 'it', 'was', 'nice', 'talking', 'to', 'you']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",adj_with_cue,0 0 0 0 0 0,it was nice talking to you
3326-108,they just really ca n't wait to be able to take their kids where they have I am sorry where they had fun,"['they', 'just', 'really', 'ca', ""n't"", 'wait', 'to', 'be', 'able', 'to', 'take', 'their', 'kids', 'where', 'they', 'had', 'fun']","['they', 'just', 'really', 'ca', ""n't"", 'wait', 'to', 'be', 'able', 'to', 'take', 'their', 'kids', 'where', 'they', 'have', 'I', 'am', 'sorry', 'where', 'they', 'had', 'fun']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,yeah they just really ca n't wait to be able to take their kids where they had fun
3097-45,i did very much the same thing until my male child no wait same thing until my boys got into high school and said mom please do not be involved,"['i', 'did', 'very', 'much', 'the', 'same', 'thing', 'until', 'my', 'boys', 'got', 'into', 'high', 'school', 'and', 'said', 'mom', 'please', 'do', 'not', 'be', 'involved']","['i', 'did', 'very', 'much', 'the', 'same', 'thing', 'until', 'my', 'male', 'child', 'no', 'wait', 'same', 'thing', 'until', 'my', 'boys', 'got', 'into', 'high', 'school', 'and', 'said', 'mom', 'please', 'do', 'not', 'be', 'involved']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,i did very much the same thing until my boys got into high school and said mom please do not be involved
3097-45,,,,,,0 0 0 0 0 0,then i went back to work
2896-17,,,,,,I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,um what i what i 'm trying to do is i 've got yellow tile in both the bathrooms so i want something that 's going to tie that together and i 'm changing the like the towel racks and stuff the the fixtures out to make them wood i 'm going to put wood in there
3469-30,,,,,,0 0,right exactly
3469-30,and i think it 's important that they allow a good number of people in every year because really they 're the ones who run wait a minute they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that we do n't want to do,"['and', 'i', 'think', 'it', ""'s"", 'important', 'that', 'they', 'allow', 'a', 'good', 'number', 'of', 'people', 'in', 'every', 'year', 'because', 'really', 'they', ""'re"", 'the', 'ones', 'who', 'work', 'the', 'hardest', 'and', 'do', 'the', 'jobs', 'that', 'we', 'do', ""n't"", 'want', 'to', 'do']","['and', 'i', 'think', 'it', ""'s"", 'important', 'that', 'they', 'allow', 'a', 'good', 'number', 'of', 'people', 'in', 'every', 'year', 'because', 'really', 'they', ""'re"", 'the', 'ones', 'who', 'run', 'wait', 'a', 'minute', 'they', 'allow', 'a', 'good', 'number', 'of', 'people', 'in', 'every', 'year', 'because', 'really', 'they', ""'re"", 'the', 'ones', 'who', 'work', 'the', 'hardest', 'and', 'do', 'the', 'jobs', 'that', 'we', 'do', ""n't"", 'want', 'to', 'do']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,and i think it 's important that they you know they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that that we do n't want to do
3469-30,,,,,,0 I I I I I I I I 0 0 0 0 0 0 0 I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,and i just i do n't know i have personally i have a problem with it i think that you know if someone wants to come in and they can prove that they 're going to work and they 're going to be a good citizen that we should n't close our door
2121-51,i have n't understand well I actually meant have n't read that,"['i', 'have', ""n't"", 'read', 'that']","['i', 'have', ""n't"", 'understand', 'well', 'I', 'actually', 'meant', 'have', ""n't"", 'read', 'that']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,0 0 0 0 0,i have n't read that
3029-138,there you extend wait go,"['there', 'you', 'go']","['there', 'you', 'extend', 'wait', 'go']","['F', 'F', 'D', 'D', 'F']",verb_with_cue,0 0 0,there you go
3994-36,yep they went out and bought us a pianissimo I am sorry a piano and for three months,"['yep', 'they', 'went', 'out', 'and', 'bought', 'us', 'a', 'piano', 'and', 'for', 'three', 'months']","['yep', 'they', 'went', 'out', 'and', 'bought', 'us', 'a', 'pianissimo', 'I', 'am', 'sorry', 'a', 'piano', 'and', 'for', 'three', 'months']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0,yep they went out and bought us a piano and for three months
4483-9,they 've got these it 's county wide curriculum no sorry county wide program now,"['they', ""'ve"", 'got', 'these', 'it', ""'s"", 'county', 'wide', 'program', 'now']","['they', ""'ve"", 'got', 'these', 'it', ""'s"", 'county', 'wide', 'curriculum', 'no', 'sorry', 'county', 'wide', 'program', 'now']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 I I I 0 0 0 0 0 0,they 've got these wh it 's it 's county wide program now
4483-9,and what they 've done is they 've broken everything down into refuse I meant 've broken everything down into garbage,"['and', 'what', 'they', ""'ve"", 'done', 'is', 'they', ""'ve"", 'broken', 'everything', 'down', 'into', 'garbage']","['and', 'what', 'they', ""'ve"", 'done', 'is', 'they', ""'ve"", 'broken', 'everything', 'down', 'into', 'refuse', 'I', 'meant', ""'ve"", 'broken', 'everything', 'down', 'into', 'garbage']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0,and what they 've done is they 've broken everything down into garbage
4483-9,,,,,,I 0 0,uh yard trash
4483-9,plastic cans and crank sorry and glass,"['plastic', 'cans', 'and', 'glass']","['plastic', 'cans', 'and', 'crank', 'sorry', 'and', 'glass']","['F', 'F', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,0 I 0 0 0,plastic cr cans and glass
4483-9,and then newspaper publisher wait and then paper,"['and', 'then', 'paper']","['and', 'then', 'newspaper', 'publisher', 'wait', 'and', 'then', 'paper']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",noun_with_cue,0 0 I 0,and then uh paper
4483-9,which in the paper it 's just paper no wait 's just newspaper and corrugated cardboard,"['which', 'in', 'the', 'paper', 'it', ""'s"", 'just', 'newspaper', 'and', 'corrugated', 'cardboard']","['which', 'in', 'the', 'paper', 'it', ""'s"", 'just', 'paper', 'no', 'wait', ""'s"", 'just', 'newspaper', 'and', 'corrugated', 'cardboard']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 I 0 0 0 0,which in the paper it 's just uh newspaper and corrugated cardboard
4483-9,is the only thing you 're supposed to cast no i meant to say thing you 're supposed to put in there,"['is', 'the', 'only', 'thing', 'you', ""'re"", 'supposed', 'to', 'put', 'in', 'there']","['is', 'the', 'only', 'thing', 'you', ""'re"", 'supposed', 'to', 'cast', 'no', 'i', 'meant', 'to', 'say', 'thing', 'you', ""'re"", 'supposed', 'to', 'put', 'in', 'there']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 0 0 0 0 0 0 0 0 0 0,is the only thing you 're supposed to put in there
4483-9,no slickness no i meant to say slicks,"['no', 'slicks']","['no', 'slickness', 'no', 'i', 'meant', 'to', 'say', 'slicks']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F']",noun_with_cue,0 0,no slicks
3469-7,that 's rightful wait 's true,"['that', ""'s"", 'true']","['that', ""'s"", 'rightful', 'wait', ""'s"", 'true']","['F', 'D', 'D', 'D', 'F', 'F']",adj_with_cue,I 0 0 0,yeah that 's true
3469-7,you ca n't just fall no sorry you ca n't just come over to the country because you want to,"['you', 'ca', ""n't"", 'just', 'come', 'over', 'to', 'the', 'country', 'because', 'you', 'want', 'to']","['you', 'ca', ""n't"", 'just', 'fall', 'no', 'sorry', 'you', 'ca', ""n't"", 'just', 'come', 'over', 'to', 'the', 'country', 'because', 'you', 'want', 'to']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0,i mean you ca n't just come over to the country because uh you want to
3469-7,that 's not right no 's not good enough,"['that', ""'s"", 'not', 'good', 'enough']","['that', ""'s"", 'not', 'right', 'no', ""'s"", 'not', 'good', 'enough']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",adj_with_cue,I I 0 0 0 0 0,you know that 's not good enough
3469-7,,,,,,0 0 0 0 0 I I I I 0 0 0 0 0 0 0,you have to have a have to have a darn good reason of political or whatever
3469-7,not a good easy room wait a minute good easy way to get in,"['not', 'a', 'good', 'easy', 'way', 'to', 'get', 'in']","['not', 'a', 'good', 'easy', 'room', 'wait', 'a', 'minute', 'good', 'easy', 'way', 'to', 'get', 'in']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 I I I 0 0 0 0 0,not a good not a good easy way to get in
