id,disfluent_sentence,fluent_sentence,io_indexing,pos_tags
2347-71,now it probably does n't work that way in our household because i have strong opinions about things too but uh i like being taken care of,now it probably does n't work that way in our household because i have strong opinions about things too but i like being taken care of,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,RB PRP RB VBZ RB VB DT NN IN PRP$ NN IN NN VBP JJ NNS IN NNS RB CC JJ NNS IN VBG VBN NN IN
2347-71,i like my luggage carried and my door opened and i think the young women are losing that and i think that 's sad,i like my luggage carried and my door opened and i think the young women are losing that and i think that 's sad,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN IN PRP$ NN VBD CC PRP$ NN VBD CC JJ VBP DT JJ NNS VBP VBG IN CC VB VBP DT VBZ JJ
4149-68,oh yes oh yes,,I I I I,UH UH UH NNS
4149-68,well you 're not a starving artist yet are you,well you 're not a starving artist yet are you,0 0 0 0 0 0 0 0 0 0,RB PRP VBP RB DT JJ NN RB VBP PRP
3076-75,uh huh yeah easier targets and so we we did get a petition together and we very strongly resisted it and it was placed in a actually it was placed clear closer to my neighborhood but it was on the right side of the street,easier targets and so we did get a petition together and we very strongly resisted it and it was placed closer to my neighborhood but it was on the right side of the street,I I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,JJ NN RB JJR NNS CC RB PRP PRP VBD VB DT NN RB CC PRP RB RB VBD PRP CC PRP VBD VBN IN DT RB PRP VBD VBN JJ NN TO PRP$ NN CC PRP VBD IN DT JJ NN IN DT NN
3076-75,,,,
3521-59,right right yeah not something you 'll you 'll uh be interested in ten years from now by any means,not something you 'll be interested in ten years from now by any means,I I I 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0,RB RB MD RB NN PRP MD PRP MD VB VB JJ IN JJ NNS IN RB IN DT NNS
3521-59,you know,,I I,PRP VBP
3521-59,how how about you,how about you,0 I 0 0,WRB WRB IN PRP
3521-59,uh i guess in washington d c you guys have several papers that are pretty,i guess in washington d c you guys have several papers that are pretty,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN NN NN IN NN NN NN PRP VBP VB JJ NNS WDT VBP RB
2952-38,i just go out just to just to enjoy it and not really spend money sometimes,i just go out just to enjoy it and not really spend money sometimes,0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,NN RB VB RP RB TO RB TO VB PRP CC RB RB VB NN RB
2018-48,uh huh and then,,I I I I,JJ NN CC RB
3096-105,uh huh uh huh,,I I I I,JJ NN NN NN
3666-20,is uh is that good,is that good,0 I I 0 0,VBZ JJ VBZ IN JJ
3666-20,okay,okay,0,NN
3666-20,and i edge it occasionally,and i edge it occasionally,0 0 0 0 0,CC NN VBP PRP RB
4341-55,well i think that would be kind of drastic punishment,i think that would be kind of drastic punishment,I 0 0 0 0 0 0 0 0 0,RB RB VBP DT MD VB NN IN JJ NN
3046-68,yeah,,I,NN
3046-68,so i,,I I,RB JJ
2874-55,yeah and if you know when you when you have to look in their eyes and you know hit them in the head or whatever that 's what you do with a catfish you know because you have to sever their spinal cord,when you have to look in their eyes and hit them in the head or whatever that 's what you do with a catfish because you have to sever their spinal cord,I I I I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,NN CC IN PRP VBP WRB PRP WRB PRP VBP TO VB IN PRP$ NNS CC PRP VBP VB PRP IN DT NN CC NN DT VBZ WP PRP VBP IN DT JJ PRP VBP IN PRP VBP TO VB PRP$ JJ NN
3838-4,well i grew up in california and then i went to school in utah and i got married there and we stayed there for a while and then now we 're in u iowa,i grew up in california and then i went to school in utah and i got married there and we stayed there for a while and now we 're in iowa,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 I 0,RB NN VBD RP IN NN CC RB VB VBD TO NN IN JJ CC JJ VBD VBN RB CC PRP VBP EX IN DT NN CC RB RB PRP VBP IN JJ NN
2316-53,i guess you just have to wonder is it up to the is it you know who who 's supposed to make the change the the state the govern the federal government you know where 's the money supposed to come from,i guess you just have to wonder who 's supposed to make the change the state the federal government where 's the money supposed to come from,0 0 0 0 0 0 0 I I I I I I I I I I 0 0 0 0 0 0 0 0 I 0 I I 0 0 0 I I 0 0 0 0 0 0 0 0,NN NN PRP RB VBP TO VB VBZ PRP IN TO DT VBZ PRP PRP VBP WP WP VBZ VBN TO VB DT NN DT DT NN DT NN DT JJ NN PRP VBP WRB VBZ DT NN VBN TO VB IN
2316-53,is it you know,,I I I I,VBZ PRP PRP VBP
