id,disfluent_sentence,fluent_sentence,i0_indexing,pos_tags
3469-30,right exactly,right exactly,0 0,RB RB
3469-30,and i think it 's important that they you know they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that that we do n't want to do,and i think it 's important that they allow a good number of people in every year because really they 're the ones who work the hardest and do the jobs that we do n't want to do,0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,CC NN VBP PRP VBZ JJ IN PRP PRP VBP PRP VBP DT JJ NN IN NNS IN DT NN IN RB PRP VBP DT NNS WP VBP DT JJS CC VBP DT NNS IN DT PRP VBP RB VB TO VB
3469-30,and i just i do n't know i have personally i have a problem with it i think that you know if someone wants to come in and they can prove that they 're going to work and they 're going to be a good citizen that we should n't close our door,and personally i have a problem with it if someone wants to come in and they can prove that they 're going to work and they 're going to be a good citizen that we should n't close our door,0 I I I I I I I I 0 0 0 0 0 0 0 I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB RB RB VBP RB VB NNS VBP RB VBN VBP DT NN IN PRP VBZ VBP IN PRP VBP IN NN VBZ TO VB IN CC PRP MD VB IN PRP VBP VBG TO VB CC PRP VBP VBG TO VB DT JJ NN IN PRP MD RB VB PRP$ NN
2121-51,i have n't read that,i have n't read that,0 0 0 0 0,NNS VBP RB VB IN
3029-138,there you go,there you go,0 0 0,RB PRP VBP
3994-36,yep they went out and bought us a piano and for three months,yep they went out and bought us a piano and for three months,0 0 0 0 0 0 0 0 0 0 0 0 0,NN PRP VBD RP CC VBD PRP DT NN CC IN CD NNS
4483-9,they 've got these wh it 's it 's county wide program now,they 've got these it 's county wide program now,0 0 0 0 I I I 0 0 0 0 0 0,PRP VBP VBN DT IN PRP VBZ PRP VBZ JJ JJ NN RB
4483-9,and what they 've done is they 've broken everything down into garbage,and what they 've done is they 've broken everything down into garbage,0 0 0 0 0 0 0 0 0 0 0 0 0,CC WP PRP VBP VBN VBZ PRP VBP VBN NN RP IN NN
4483-9,uh yard trash,yard trash,I 0 0,JJ NN NN
4483-9,plastic cr cans and glass,plastic cans and glass,0 I 0 0 0,NN NN NNS CC NN
4483-9,and then uh paper,and then paper,0 0 I 0,CC RB JJ NN
4483-9,which in the paper it 's just uh newspaper and corrugated cardboard,which in the paper it 's just newspaper and corrugated cardboard,0 0 0 0 0 0 0 I 0 0 0 0,WDT IN DT NN PRP VBZ RB JJ NN CC JJ NN
4483-9,is the only thing you 're supposed to put in there,is the only thing you 're supposed to put in there,0 0 0 0 0 0 0 0 0 0 0,VBZ DT JJ NN PRP VBP VBN TO VB IN RB
4483-9,no slicks,no slicks,0 0,DT NNS
4483-9,uh,,I,NN
3469-7,yeah that 's true,that 's true,I 0 0 0,NN DT VBZ JJ
3469-7,i mean you ca n't just come over to the country because uh you want to,you ca n't just come over to the country because you want to,I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0,JJ VBP PRP MD RB RB VBN IN TO DT NN IN IN PRP VBP TO
3469-7,you know that 's not good enough,that 's not good enough,I I 0 0 0 0 0,PRP VBP DT VBZ RB JJ RB
3469-7,you have to have a have to have a darn good reason of political or whatever,you have to have a darn good reason of political or whatever,0 0 0 0 0 I I I I 0 0 0 0 0 0 0,PRP VBP TO VB DT VBP TO VB DT NN JJ NN IN JJ CC WDT
3469-7,not a good not a good easy way to get in,not a good easy way to get in,0 0 0 I I I 0 0 0 0 0,RB DT JJ RB DT JJ JJ NN TO VB IN
