id,disfluent_sentence,fluent_sentence,i0_indexing
2347-71,and we just recently finished a long drive through the west a little over five thousand miles and at one point we sat down uh i did n't realize it but i sat at a counter to have a cup of coffee that happened to be for truck drivers only,and we just recently finished a long drive through the west a little over five thousand miles and at one point we sat down i did n't realize it but i sat at a counter to have a cup of coffee that happened to be for truck drivers only,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2347-71,and here 's this young girl with the tattoos and she w has just had just driven a load of meat from minneapolis to some place in arizona and she 'd been and i ask her how old she was and she was the ag between the age of our daughters and she had been driving a truck for seven years,and here 's this young girl with the tattoos and she had just driven a load of meat from minneapolis to some place in arizona and i ask her how old she was and she was between the age of our daughters and she had been driving a truck for seven years,0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2347-71,and i thought gosh i mean why would a woman choose that rough and tumble life style when i guess i 'm s i 'm a maybe victorian and my husband is a little bit of a male chauvinist in that he 's a very considerate person but he also thinks a woman should be taken care of and and in the home and she should vote but after she talks to her husband about how she ought to vote,and i thought gosh why would a woman choose that rough and tumble life style,0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2347-71,now it probably does n't work that way in our household because i have strong opinions about things too but uh i like being taken care of,i 'm maybe victorian and my husband is a little bit of a male chauvinist in that he 's a very considerate person but he also thinks a woman should be taken care of and in the home and she should vote but after she talks to her husband about how she ought to vote,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0
2347-71,i like my luggage carried and my door opened and i think the young women are losing that and i think that 's sad,now it probably does n't work that way in our household because i have strong opinions about things too but i like being taken care of,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4149-68,oh yes oh yes,,I I I I
4149-68,well you 're not a starving artist yet are you,well you 're not a starving artist yet are you,0 0 0 0 0 0 0 0 0 0
3076-75,uh huh yeah easier targets and so we we did get a petition together and we very strongly resisted it and it was placed in a actually it was placed clear closer to my neighborhood but it was on the right side of the street,easier targets and so we did get a petition together and we very strongly resisted it and it was placed closer to my neighborhood but it was on the right side of the street,I I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3076-75,,,
3521-59,right right yeah not something you 'll you 'll uh be interested in ten years from now by any means,not something you 'll be interested in ten years from now by any means,I I I 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0
3521-59,you know,,I I
3521-59,how how about you,how about you,0 I 0 0
3521-59,uh i guess in washington d c you guys have several papers that are pretty,i guess in washington d c you guys have several papers that are pretty,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2952-38,i just go out just to just to enjoy it and not really spend money sometimes,i just go out just to enjoy it and not really spend money sometimes,0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0
2018-48,uh huh and then,,I I I I
3096-105,uh huh uh huh,,I I I I
3666-20,is uh is that good,is that good,0 I I 0 0
3666-20,okay,okay,0
3666-20,and i edge it occasionally,and i edge it occasionally,0 0 0 0 0
4341-55,well i think that would be kind of drastic punishment,i think that would be kind of drastic punishment,I 0 0 0 0 0 0 0 0 0
3046-68,yeah,,I
3046-68,so i,,I I
2874-55,yeah and if you know when you when you have to look in their eyes and you know hit them in the head or whatever that 's what you do with a catfish you know because you have to sever their spinal cord,when you have to look in their eyes and hit them in the head or whatever that 's what you do with a catfish because you have to sever their spinal cord,I I I I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0
3838-4,well i grew up in california and then i went to school in utah and i got married there and we stayed there for a while and then now we 're in u iowa,i grew up in california and then i went to school in utah and i got married there and we stayed there for a while and now we 're in iowa,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 I 0
2316-53,i guess you just have to wonder is it up to the is it you know who who 's supposed to make the change the the state the govern the federal government you know where 's the money supposed to come from,i guess you just have to wonder who 's supposed to make the change the state the federal government where 's the money supposed to come from,0 0 0 0 0 0 0 I I I I I I I I I I 0 0 0 0 0 0 0 0 I 0 I I 0 0 0 I I 0 0 0 0 0 0 0 0
2316-53,is it you know,,I I I I
